"id","incidence","cover","immigration","risk"
"Romania",342.450011491611,94,1433,490730.866467479
"Russia",14.8461538461538,98,8103,120298.384615385
"Rwanda",6.54564496421714,99,16,104.730319427474
"Saint Kitts and Nevis",0,95,17,0
"Saint Lucia",0,99,10,0
"Saint Vincent and the Grenadines",0,94,20,0
"Samoa",5.29100529100529,85,24547,129878.306878307
"San Marino",32.258064516129,87,17,548.387096774194
"Sao Tome and Principe",0,92,NA,NA
"Saudi Arabia",10.3930995475113,98,5466,56808.6821266968
"Senegal",3.35130409441935,82,20,67.026081888387
"Serbia",0,87,274,0
"Seychelles",0,98,95,0
"Sierra Leone",113.396889111892,88,7,793.778223783241
"Singapore",7.92004525740147,95,25460,201644.352253441
"Slovakia",0,99,1413,0
"Slovenia",0.967117988394584,95,918,887.814313346228
"Solomon Islands",0,85,1451,0
"Somalia",979.205492888671,49,87,85190.8778813144
"South Africa",0.610850227159928,99,30600,18692.0169510938
"South Sudan",NA,70,NA,NA
"Spain",25.7512565501016,97,10104,260190.696182227
"Sri Lanka",2.41729073845862,99,5340,12908.332543369
"Sudan",786.399704742572,85,80,62911.9763794058
"Sudan",229.143702110499,85,80,18331.4961688399
"Suriname",0,73,5,0
"Swaziland",0,88,2,0
"Sweden",3.15424245610346,97,13719,43273.0522552834
"Switzerland",7.62786044766788,92,14851,113281.355508316
"Syrian Arab Republic",0.59387848332572,78,116,68.8899040657835
"Tajikistan",1.99775252840554,95,25,49.9438132101386
"Thailand",77.8168750467919,98,20258,1576414.25469791
"The former Yugoslav Republic of Macedonia",3.32383665716999,96,NA,NA
"Timor-Leste",14.3626570915619,73,109,1565.52962298025
"Togo",35.827186512118,72,2,71.654373024236
"Tonga",0,95,26717,0
"Trinidad and Tobago",0,85,124,0
"Tunisia",4.41379310344828,96,29,128
"Turkey",4.71640742192251,96,1168,5508.76386880549
"Turkmenistan",0,99,2,0
"Tuvalu",0,98,663,0
"Uganda",55.769548230892,82,94,5242.33753370385
"Ukraine",279.947287502745,79,2373,664314.913244015
"United Arab Emirates",14.3384749076689,99,495,7097.54507929611
"United Kingdom",33.3211219597662,93,306177,10202161.1582753
"United Republic of Tanzania",34.9078124019003,97,NA,NA
"United States",0.172955974842767,92,194438,33629.213836478
"Uruguay",0,96,1190,0
"Uzbekistan",NA,99,114,NA
"Vanuatu",0,94,3741,0
"Venezuela",0.0333834084460023,87,398,13.2865965615089
"Viet Nam",6.36591920348914,96,5654,35992.9071765276
"Yemen",91.2711722287439,71,18,1642.88110011739
"Zambia",63.6589698046181,95,194,12349.8401420959
"Zimbabwe",0,97,1330,0
"American Samoa",NA,NA,102,NA
"Bermuda",NA,NA,4,NA
"British Indian Ocean Territory",NA,NA,1,NA
"Cape Verde",NA,NA,1,NA
"Cayman Islands",NA,NA,4,NA
"Democratic Republic of Congo",NA,NA,15,NA
"Hong Kong",NA,NA,19103,NA
"Kosovo - Republic of",NA,NA,15,NA
"Liechtenstein",NA,NA,80,NA
"Macau",NA,NA,403,NA
"Macedonia",NA,NA,197,NA
"Martinique",NA,NA,1,NA
"Burma",NA,NA,693,NA
"Netherlands Antilles",NA,NA,1,NA
"Palestine",NA,NA,72,NA
"Reunion",NA,NA,1,NA
"Korea, Republic of",NA,NA,73459,NA
"Taiwan",NA,NA,23815,NA
"Tanzania",NA,NA,97,NA
"Tokelau",NA,NA,2,NA
"United Nations",NA,NA,226,NA
"Holy See (Vatican City)",NA,NA,9,NA
"Yugoslavia",NA,NA,6,NA
