"vacc2006","vacc2007"
0.912751677852349,0.932885906040268
0.89261744966443,0.906040268456376
0.929530201342282,0.936241610738255
0.929530201342282,0.939597315436242
0.916107382550336,0.936241610738255
0.929530201342282,0.936241610738255
0.949664429530201,0.942953020134228
0.902684563758389,0.939597315436242
0.926174496644295,0.942953020134228
0.902684563758389,0.916107382550336
0.89261744966443,0.89261744966443
0.942953020134228,0.949664429530201
0.942953020134228,0.942953020134228
0.949664429530201,0.939597315436242
0.922818791946309,0.929530201342282
0.889261744966443,0.912751677852349
0.939597315436242,0.946308724832215
0.899328859060403,0.926174496644295
0.86241610738255,0.859060402684564
0.929530201342282,0.932885906040268
0.916107382550336,0.929530201342282
