"date","week","incidence"
"2013-12-21",1,1
"2013-12-28",2,10
"2014-01-04",3,4
"2014-01-11",4,2
"2014-01-18",5,7
"2014-01-25",6,4
"2014-02-01",7,2
"2014-02-08",8,6
"2014-02-15",9,15
"2014-02-22",10,16
"2014-03-01",11,23
"2014-03-08",12,11
"2014-03-15",13,5
"2014-03-22",14,3
"2014-03-29",15,9
"2014-04-05",16,1
"2014-04-12",17,5
"2014-04-19",18,2
"2014-04-26",19,3
"2014-05-03",20,1
"2014-05-10",21,1
"2014-05-17",22,1
"2014-05-24",23,6
"2014-05-31",24,17
"2014-06-07",25,37
