"","Df","Deviance","Resid. Df","Resid. Dev","F","Pr(>F)"
"NULL",NA,NA,59,1532.79647483814,NA,NA
"Age",4,1345.16779730343,55,187.628677534712,204.012586640347,3.98084994113177e-25
"Ethnicity",3,19.8770139082944,52,167.751663626417,4.01948468708654,0.0140578411972259
"NZDep",2,17.0975117137223,50,150.654151912695,5.18613008254063,0.0101989888138838
"Age:Ethnicity",12,80.8045958503298,38,69.8495560623651,4.08503054288106,0.000430194302178003
