Countries,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
Ukraine,0,0,0,0,0,23,56,52,27,28,52,31,32,0,0,52,22,88,0,50,50,27,27,31,33,0,30,0,72,24,84,26,52,0,0,0,0,0,34,28,24,24,40,20,40,0,80,0,0,20,40,40,60,60,20,20,60,40,0,0,0,40,80,40,60,40,40,40,20,0,40,60,40,0,40,20,20,20,0
Union of Soviet Socialist Republics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,330,216,464,392,456,230,252,156,243,364,728,744,352,324,448,546,242,352,297,150,450,351,594,620,264,522,300,644,384,240,224,208,442,261,783,660,238,493,340,448,432,288,220,200,280,480,540,520,400,260,400,380,280,180,140,340,340,320,540,640,300,360,380,600,520,200,280,120,420,420,540,880,340,340,740,520,560,340,2720
United Kingdom,2343,2808,5162,7560,11976,14053,12376,10062,10152,5012,3848,7719,2464,2106,4200,7696,11088,12144,13176,9200,9800,4077,3510,7936,2046,2552,5520,5796,12096,14736,11872,10816,11154,4350,3799,7557,2346,2001,4012,9128,12096,12888,15800,8740,7960,5020,4020,8880,2400,2640,6080,8400,12680,14940,9980,9900,10140,4360,4000,10040,2560,2100,4420,8100,11000,12780,14900,12000,9900,4320,4180,10420,1900,2160,4460,9600,12120,16900,2100
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
United States of America,5214,3915,5075,7952,8928,10258,10976,9438,11367,7700,5304,7192,4064,4455,4760,7566,8690,9614,10962,8050,9500,7371,6291,6727,4026,4176,6120,8596,9288,12600,10640,9828,10998,8091,6670,7887,4522,4379,5610,8596,9216,11496,14560,10180,9600,9540,7280,9380,5800,5660,6580,11080,10540,16140,12780,12340,13520,9460,7380,10340,6160,5720,6700,13160,13240,13700,18020,15460,18320,11520,8460,11740,8140,6840,7460,15420,15420,16880,0
Uruguay,0,0,29,28,0,0,84,52,27,84,0,31,0,27,0,26,22,0,27,0,50,54,81,62,33,0,0,28,72,0,28,78,52,29,29,0,34,29,0,28,24,48,60,40,20,20,20,40,20,0,40,20,20,60,0,60,20,0,0,60,60,20,0,40,20,0,0,20,20,0,100,40,0,40,0,60,60,20,19780
Uzbekistan,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,0,25,0,0,0,0,0,0,0,24,0,0,52,0,0,29,33,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,0,60,80,0,0,0,0,0,20,0,0,0,0,0,20,0,600
Vanuatu,1023,432,696,756,720,1380,2016,1560,1323,1064,858,713,608,297,588,754,858,1276,1755,1550,1400,1026,729,682,693,348,570,812,936,1368,1652,1456,1248,841,667,825,782,203,442,644,864,1200,1880,1600,820,940,800,800,680,260,580,800,820,1420,1660,1840,1520,1300,720,920,660,300,680,1860,1180,1820,2200,1940,1540,1540,900,960,620,320,700,1120,2820,1940,0
Vatican City State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
