Age_Var,Age_Level,Age_Label,Eth_Var,Eth_Level,Eth_Label,Sex_code,Sex_Label,DepMissing,Dep1,Dep2,Dep3,Dep4,Dep5,Dep6,Dep7,Dep8,Dep9,Dep10,Total
AgeGroup A,100,A: 0- 5 yrs,EthIndPac,49,Non-Pacific Peoples,1,Male,18,15579,15126,14577,14589,13977,13833,13530,13302,13233,13683,
AgeGroup A,100,A: 0- 5 yrs,EthIndPac,49,Non-Pacific Peoples,2,Female,12,15045,14433,14031,13986,13362,13350,12735,12651,12906,12999,
AgeGroup A,100,A: 0- 5 yrs,EthIndPac,49,Non-Pacific Peoples,99,Both Sexes,33,30624,29556,28608,28578,27339,27183,26265,25956,26142,26682,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndAsian,54,Asian,1,Male,,1197,1161,1389,1431,1560,1650,1653,1818,1686,1362,
AgeGroup A,100,A: 0- 5 yrs,EthIndAsian,54,Asian,2,Female,,1128,1101,1290,1389,1440,1521,1581,1797,1491,1230,
AgeGroup A,100,A: 0- 5 yrs,EthIndAsian,54,Asian,99,Both Sexes,,2325,2262,2679,2823,3000,3171,3234,3612,3177,2592,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndAsian,59,Non-Asian,1,Male,18,14727,14445,13779,13917,13398,13491,13584,14457,16134,20130,
AgeGroup A,100,A: 0- 5 yrs,EthIndAsian,59,Non-Asian,2,Female,12,14280,13770,13284,13374,12780,13155,12786,13632,15615,19242,
AgeGroup A,100,A: 0- 5 yrs,EthIndAsian,59,Non-Asian,99,Both Sexes,33,29007,28218,27063,27294,26181,26649,26370,28089,31746,39372,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndEuro,66,European (NZ European and Other European),1,Male,12,12789,12237,11580,11430,10983,10509,10110,9588,8814,7449,
AgeGroup A,100,A: 0- 5 yrs,EthIndEuro,66,European (NZ European and Other European),2,Female,12,12351,11772,11154,11034,10413,10254,9423,9024,8685,7041,
AgeGroup A,100,A: 0- 5 yrs,EthIndEuro,66,European (NZ European and Other European),99,Both Sexes,27,25143,24006,22734,22464,21396,20760,19533,18612,17496,14490,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndEuro,69,Non-European,1,Male,6,3132,3369,3588,3918,3975,4635,5130,6684,9006,14043,
AgeGroup A,100,A: 0- 5 yrs,EthIndEuro,69,Non-European,2,Female,,3057,3102,3417,3732,3813,4422,4944,6402,8424,13428,
AgeGroup A,100,A: 0- 5 yrs,EthIndEuro,69,Non-European,99,Both Sexes,6,6189,6468,7005,7650,7785,9060,10074,13089,17427,27474,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndMELAA,77,MELAA,1,Male,,132,156,177,171,168,219,252,240,291,324,
AgeGroup A,100,A: 0- 5 yrs,EthIndMELAA,77,MELAA,2,Female,,102,105,156,141,156,216,237,216,276,306,
AgeGroup A,100,A: 0- 5 yrs,EthIndMELAA,77,MELAA,99,Both Sexes,,231,261,327,315,321,432,489,459,570,630,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndMELAA,79,Non-MELAA,1,Male,18,15792,15450,14994,15174,14793,14928,14988,16032,17526,21168,
AgeGroup A,100,A: 0- 5 yrs,EthIndMELAA,79,Non-MELAA,2,Female,12,15309,14766,14421,14625,14067,14463,14130,15213,16827,20166,
AgeGroup A,100,A: 0- 5 yrs,EthIndMELAA,79,Non-MELAA,99,Both Sexes,33,31098,30216,29412,29799,28860,29388,29115,31242,34353,41334,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndOth,88,"Other Ethnicity (Has Other than M,P,A,E,MELAA)",1,Male,6,2163,2175,2043,1995,1701,1662,1476,1302,1029,711,
AgeGroup A,100,A: 0- 5 yrs,EthIndOth,88,"Other Ethnicity (Has Other than M,P,A,E,MELAA)",2,Female,6,2169,2052,1965,1932,1689,1572,1440,1176,1026,672,
AgeGroup A,100,A: 0- 5 yrs,EthIndOth,88,"Other Ethnicity (Has Other than M,P,A,E,MELAA)",99,Both Sexes,9,4332,4230,4005,3927,3387,3234,2919,2478,2055,1386,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndOth,89,"Non-Other Ethnicity (Has only M,P,A,E,MELAA)",1,Male,15,13758,13431,13125,13356,13260,13482,13764,14970,16788,20781,
AgeGroup A,100,A: 0- 5 yrs,EthIndOth,89,"Non-Other Ethnicity (Has only M,P,A,E,MELAA)",2,Female,9,13242,12819,12612,12834,12534,13101,12924,14253,16080,19800,
AgeGroup A,100,A: 0- 5 yrs,EthIndOth,89,"Non-Other Ethnicity (Has only M,P,A,E,MELAA)",99,Both Sexes,27,27000,26250,25737,26190,25794,26586,26691,29223,32868,40581,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndnonMP,90,Maori or Pacific Ethnicity,1,Male,15,14412,13491,12807,12393,11463,10767,9927,8865,7254,4860,
AgeGroup A,100,A: 0- 5 yrs,EthIndnonMP,90,Maori or Pacific Ethnicity,2,Female,9,13854,12945,12309,11961,11013,10371,9357,8415,7086,4662,
AgeGroup A,100,A: 0- 5 yrs,EthIndnonMP,90,Maori or Pacific Ethnicity,99,Both Sexes,24,28266,26439,25119,24354,22473,21141,19284,17277,14337,9525,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthIndnonMP,99,nonMaorinonPacific Ethnicity,1,Male,6,1509,2112,2361,2955,3501,4374,5313,7407,10566,16632,
AgeGroup A,100,A: 0- 5 yrs,EthIndnonMP,99,nonMaorinonPacific Ethnicity,2,Female,6,1554,1926,2265,2808,3210,4305,5010,7014,10020,15810,
