"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Burbank",384,348,369,345,306,231,216,177,237,192,159,111,114,177,3360,297.414,282.21,240.516,199.584,198.72,162.84,218.04,176.64,233.892,109.89,112.86,175.23,2407.836,2634,0.914136674259681
"Homai West",210,210,186,204,192,129,114,117,153,129,111,81,87,129,2055,149.916,166.872,150.912,111.456,104.88,107.64,140.76,118.68,134.928,80.19,86.13,127.71,1480.074,1632,0.906908088235294
"Rowandale",378,324,303,282,285,249,222,180,195,177,177,138,93,120,3129,244.218,230.676,224.01,215.136,204.24,165.6,179.4,162.84,217.692,136.62,92.07,118.8,2191.302,2421,0.905122676579926
"Homai East",618,591,534,510,546,465,393,393,405,399,354,279,216,438,6141,430.404,417.18,429.156,401.76,361.56,361.56,372.6,367.08,406.872,276.21,213.84,433.62,4471.842,4932,0.906699513381995
"Weymouth West",429,396,369,339,300,300,291,252,291,273,270,216,147,324,4200,297.414,277.302,235.8,259.2,267.72,231.84,267.72,251.16,295.164,213.84,145.53,320.76,3063.45,3372,0.908496441281139
"Weymouth East",495,462,438,438,405,342,351,288,339,318,282,252,219,363,4995,353.028,358.284,318.33,295.488,322.92,264.96,311.88,292.56,329.112,249.48,216.81,359.37,3672.222,4035,0.91009219330855
"Clendon North",351,309,255,252,264,225,180,177,153,195,156,141,84,99,2838,205.53,206.136,207.504,194.4,165.6,162.84,140.76,179.4,187.092,139.59,83.16,98.01,1970.022,2181,0.903265474552957
"Clendon South",594,516,552,486,411,333,291,324,330,327,267,162,144,213,4953,444.912,397.548,323.046,287.712,267.72,298.08,303.6,300.84,365.976,160.38,142.56,210.87,3503.244,3840,0.912303125
"Hillpark",369,363,336,363,441,375,402,327,375,360,366,303,231,597,5205,270.816,296.934,346.626,324,369.84,300.84,345,331.2,335.088,299.97,228.69,591.03,4040.034,4476,0.902599195710456
"Manurewa East",258,237,213,192,198,180,186,153,150,144,153,105,90,249,2505,171.678,157.056,155.628,155.52,171.12,140.76,138,132.48,168.804,103.95,89.1,246.51,1830.606,2013,0.909391952309985
"Manurewa Central",378,354,288,312,450,384,312,270,285,252,273,222,165,510,4452,232.128,255.216,353.7,331.776,287.04,248.4,262.2,231.84,264.744,219.78,163.35,504.9,3355.074,3723,0.90117485898469
"Beaumont",258,195,183,198,228,222,159,141,165,144,150,123,90,198,2448,147.498,161.964,179.208,191.808,146.28,129.72,151.8,132.48,155.268,121.77,89.1,196.02,1802.916,2001,0.901007496251874
"Leabank",543,489,438,510,450,375,312,339,333,315,303,234,195,441,5280,353.028,417.18,353.7,324,287.04,311.88,306.36,289.8,340.704,231.66,193.05,436.59,3844.992,4245,0.905769611307421
"Wattle Farm",633,630,525,480,456,423,498,510,513,459,498,405,375,993,7398,423.15,392.64,358.416,365.472,458.16,469.2,471.96,422.28,482.796,400.95,371.25,983.07,5599.344,6135,0.912688508557457
"Clevedon",147,171,213,198,132,63,90,150,204,246,273,198,174,315,2580,171.678,161.964,103.752,54.432,82.8,138,187.68,226.32,235.044,196.02,172.26,311.85,2041.8,2256,0.905053191489362
"Kawakawa-Orere",51,57,66,51,27,36,36,51,57,84,99,75,84,267,1038,53.196,41.718,21.222,31.104,33.12,46.92,52.44,77.28,80.784,74.25,83.16,264.33,859.524,933,0.921247588424437
"Papakura Central",150,120,153,132,129,117,135,135,174,129,153,105,105,363,2094,123.318,107.976,101.394,101.088,124.2,124.2,160.08,118.68,145.044,103.95,103.95,359.37,1673.25,1830,0.914344262295082
"Papakura North",180,132,132,135,141,147,141,165,138,189,147,102,117,642,2514,106.392,110.43,110.826,127.008,129.72,151.8,126.96,173.88,133.416,100.98,115.83,635.58,2022.822,2196,0.921139344262295
"Papakura South",186,207,153,120,138,126,99,111,93,99,87,75,66,96,1665,123.318,98.16,108.468,108.864,91.08,102.12,85.56,91.08,108.612,74.25,65.34,95.04,1151.892,1263,0.912028503562945
"Opaheke",192,210,180,204,198,168,132,171,198,189,195,138,132,291,2592,145.08,166.872,155.628,145.152,121.44,157.32,182.16,173.88,178.92,136.62,130.68,288.09,1981.842,2196,0.902478142076503
"Rosehill",267,234,270,276,267,195,177,174,264,231,231,132,123,330,3174,217.62,225.768,209.862,168.48,162.84,160.08,242.88,212.52,234.432,130.68,121.77,326.7,2413.632,2670,0.90398202247191
"Pahurehure",183,180,213,258,195,171,159,162,207,225,288,198,174,438,3051,171.678,211.044,153.27,147.744,146.28,149.04,190.44,207,243.324,196.02,172.26,433.62,2421.72,2688,0.9009375
"Papakura East",729,558,513,525,531,441,381,354,462,396,312,246,177,408,6030,413.478,429.45,417.366,381.024,350.52,325.68,425.04,364.32,375.372,243.54,175.23,403.92,4304.94,4746,0.907067003792667
"Massey Park",177,171,126,144,108,129,141,141,129,135,96,99,90,216,1902,101.556,117.792,84.888,111.456,129.72,129.72,118.68,124.2,102.888,98.01,89.1,213.84,1421.85,1554,0.91496138996139
"Papakura North East",435,381,321,294,321,324,333,300,267,246,237,174,159,417,4203,258.726,240.492,252.306,279.936,306.36,276,245.64,226.32,257.94,172.26,157.41,412.83,3086.22,3393,0.909584438549956
"Red Hill",243,216,177,195,186,147,168,156,168,174,165,132,135,213,2478,142.662,159.51,146.196,127.008,154.56,143.52,154.56,160.08,161.172,130.68,133.65,210.87,1824.468,2016,0.904994047619048
"Pukekohe North",882,852,768,660,588,528,543,681,681,603,516,399,351,900,8958,619.008,539.88,462.168,456.192,499.56,626.52,626.52,554.76,588.96,395.01,347.49,891,6607.068,7218,0.915359933499584
"Pukekohe West",489,489,465,444,372,357,408,420,525,447,378,354,357,1446,6942,374.79,363.192,292.392,308.448,375.36,386.4,483,411.24,392.796,350.46,353.43,1431.54,5523.048,5973,0.924669010547464
"Bledisloe Park",210,201,213,204,165,144,165,183,246,219,186,171,159,462,2934,171.678,166.872,129.69,124.416,151.8,168.36,226.32,201.48,187.02,169.29,157.41,457.38,2311.716,2517,0.918441001191895
"Waiuku West",231,216,222,192,159,162,180,189,219,183,225,198,177,552,3102,178.932,157.056,124.974,139.968,165.6,173.88,201.48,168.36,212.112,196.02,175.23,546.48,2440.092,2658,0.918018058690745
"Waiuku East",306,285,285,234,165,180,198,198,282,255,225,171,153,558,3501,229.71,191.412,129.69,155.52,182.16,182.16,259.44,234.6,237.06,169.29,151.47,552.42,2674.932,2904,0.921119834710744
"South Waiuku",114,141,156,129,54,48,66,120,141,147,117,96,84,186,1602,125.736,105.522,42.444,41.472,60.72,110.4,129.72,135.24,126.36,95.04,83.16,184.14,1239.954,1344,0.922584821428572
"Pukeoware",9,12,18,15,9,6,6,18,18,21,24,15,15,33,228,14.508,12.27,7.074,5.184,5.52,16.56,16.56,19.32,20.376,14.85,14.85,32.67,179.742,198,0.907787878787879
"Tuakau",465,381,327,291,231,261,273,285,321,279,237,207,174,453,4182,263.562,238.038,181.566,225.504,251.16,262.2,295.32,256.68,260.316,204.93,172.26,448.47,3060.006,3339,0.916443845462713
"Rotowaro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raglan",231,192,159,132,102,138,210,228,195,195,165,195,153,438,2736,128.154,107.976,80.172,119.232,193.2,209.76,179.4,179.4,154.044,193.05,151.47,433.62,2129.478,2310,0.921851948051948
"Waikato Western Hills",282,327,276,219,171,195,192,282,345,315,363,354,261,393,3978,222.456,179.142,134.406,168.48,176.64,259.44,317.4,289.8,309.672,350.46,258.39,389.07,3055.356,3366,0.907711229946524
"Te Uku",135,192,150,120,60,72,135,138,180,174,153,144,84,156,1896,120.9,98.16,47.16,62.208,124.2,126.96,165.6,160.08,143.856,142.56,83.16,154.44,1429.284,1566,0.912697318007663
"Te Pahu",99,96,99,81,51,48,63,75,117,126,90,120,87,117,1272,79.794,66.258,40.086,41.472,57.96,69,107.64,115.92,88.884,118.8,86.13,115.83,987.774,1074,0.919715083798883
"Onewhero",255,285,330,258,171,135,156,240,312,381,351,288,231,435,3831,265.98,211.044,134.406,116.64,143.52,220.8,287.04,350.52,324.432,285.12,228.69,430.65,2998.842,3288,0.912056569343066
"Te Akau",72,63,69,45,48,39,54,48,81,78,72,78,69,114,933,55.614,36.81,37.728,33.696,49.68,44.16,74.52,71.76,67.068,77.22,68.31,112.86,729.426,795,0.917516981132076
"Te Kauwhata",111,99,96,93,63,75,72,81,75,93,96,87,72,369,1473,77.376,76.074,49.518,64.8,66.24,74.52,69,85.56,91.008,86.13,71.28,365.31,1176.816,1272,0.925169811320755
"Matangi",117,135,195,150,117,81,84,129,174,177,174,177,129,315,2157,157.17,122.7,91.962,69.984,77.28,118.68,160.08,162.84,173.268,175.23,127.71,311.85,1748.754,1902,0.919429022082019
"Sylvester",225,186,138,123,135,153,183,204,189,114,120,102,93,93,2055,111.228,100.614,106.11,132.192,168.36,187.68,173.88,104.88,120.888,100.98,92.07,92.07,1490.952,1647,0.905253187613843
"Flagstaff",261,243,207,246,195,192,195,219,243,255,279,282,210,825,3846,166.842,201.228,153.27,165.888,179.4,201.48,223.56,234.6,235.98,279.18,207.9,816.75,3066.078,3348,0.915793906810036
"Horsham Downs",504,471,375,288,255,291,429,438,432,318,243,225,222,342,4833,302.25,235.584,200.43,251.424,394.68,402.96,397.44,292.56,282.636,222.75,219.78,338.58,3541.074,3858,0.917852255054432
"Rototuna",198,216,219,213,171,147,195,216,252,231,234,165,171,567,3192,176.514,174.234,134.406,127.008,179.4,198.72,231.84,212.52,215.892,163.35,169.29,561.33,2544.504,2781,0.914960086299892
"Huntington",654,636,528,495,591,495,516,633,612,528,573,414,384,762,7830,425.568,404.91,464.526,427.68,474.72,582.36,563.04,485.76,525.384,409.86,380.16,754.38,5898.348,6531,0.903130914101975
"Whitikahu",171,198,201,141,117,147,141,159,162,171,141,102,75,189,2112,162.006,115.338,91.962,127.008,129.72,146.28,149.04,157.32,157.428,100.98,74.25,187.11,1598.442,1746,0.915487972508591
"Taupiri Community",24,30,39,24,24,24,21,18,33,24,36,24,27,72,417,31.434,19.632,18.864,20.736,19.32,16.56,30.36,22.08,35.316,23.76,26.73,71.28,336.072,366,0.918229508196721
"Gordonton",120,117,87,81,72,75,72,69,81,69,90,60,39,105,1137,70.122,66.258,56.592,64.8,66.24,63.48,74.52,63.48,84.132,59.4,38.61,103.95,811.584,900,0.90176
"Kainui",210,243,231,195,189,138,141,180,216,222,228,189,141,243,2769,186.186,159.51,148.554,119.232,129.72,165.6,198.72,204.24,217.332,187.11,139.59,240.57,2096.364,2313,0.906339818417639
"Newstead",15,12,9,12,15,18,27,15,18,15,15,15,18,9,213,7.254,9.816,11.79,15.552,24.84,13.8,16.56,13.8,11.844,14.85,17.82,8.91,166.836,186,0.896967741935484
"Eureka",147,204,174,147,126,123,111,153,183,189,156,156,123,195,2184,140.244,120.246,99.036,106.272,102.12,140.76,168.36,173.88,155.016,154.44,121.77,193.05,1675.194,1836,0.912415032679739
"Tamahere-Tauwhare",288,444,519,441,225,189,168,303,498,522,525,435,330,738,5628,418.314,360.738,176.85,163.296,154.56,278.76,458.16,480.24,495.324,430.65,326.7,730.62,4474.212,4893,0.914410790925812
"Hautapu",75,159,186,210,78,81,72,117,156,141,165,132,96,237,1914,149.916,171.78,61.308,69.984,66.24,107.64,143.52,129.72,164.736,130.68,95.04,234.63,1525.194,1671,0.912743267504488
"Swayne",120,150,141,144,48,39,72,129,135,150,120,57,57,102,1461,113.646,117.792,37.728,33.696,66.24,118.68,124.2,138,122.076,56.43,56.43,100.98,1085.898,1194,0.909462311557789
"Waerenga",117,138,168,141,249,195,180,195,261,195,204,144,111,237,2538,135.408,115.338,195.714,168.48,165.6,179.4,240.12,179.4,179.136,142.56,109.89,234.63,2045.676,2280,0.897226315789474
"Maramarua",66,66,87,60,54,51,39,63,75,90,87,69,81,126,1011,70.122,49.08,42.444,44.064,35.88,57.96,69,82.8,82.476,68.31,80.19,124.74,807.066,882,0.915040816326531
"Meremere",57,39,45,42,30,30,24,39,24,33,24,27,15,39,468,36.27,34.356,23.58,25.92,22.08,35.88,22.08,30.36,31.068,26.73,14.85,38.61,341.784,372,0.918774193548387
"Huntly West",318,312,285,213,192,150,153,153,180,168,180,111,129,291,2835,229.71,174.234,150.912,129.6,140.76,140.76,165.6,154.56,212.22,109.89,127.71,288.09,2024.046,2205,0.917934693877551
"Huntly East",306,309,330,297,216,213,219,225,261,246,285,270,231,711,4122,265.98,242.946,169.776,184.032,201.48,207,240.12,226.32,288,267.3,228.69,703.89,3225.534,3504,0.920529109589041
"Cambridge North",201,213,237,201,111,102,159,192,249,237,234,165,171,528,3003,191.022,164.418,87.246,88.128,146.28,176.64,229.08,218.04,223.02,163.35,169.29,522.72,2379.234,2586,0.920044083526682
"Cambridge West",165,135,159,162,120,123,120,165,171,174,210,156,156,705,2718,128.154,132.516,94.32,106.272,110.4,151.8,157.32,160.08,178.884,154.44,154.44,697.95,2226.576,2421,0.919692688971499
"Cambridge Central",15,33,57,45,24,24,24,24,51,66,69,54,51,228,765,45.942,36.81,18.864,20.736,22.08,22.08,46.92,60.72,60.66,53.46,50.49,225.72,664.482,717,0.926753138075314
"Leamington West",243,210,231,225,207,213,180,192,240,243,249,231,180,684,3528,186.186,184.05,162.702,184.032,165.6,176.64,220.8,223.56,228.924,228.69,178.2,677.16,2816.544,3075,0.915949268292683
"Leamington East",270,282,258,261,201,204,204,207,291,276,261,246,204,684,3849,207.948,213.498,157.986,176.256,187.68,190.44,267.72,253.92,246.24,243.54,201.96,677.16,3024.348,3297,0.917303002729754
"Ohaupo",30,39,30,21,18,21,36,36,30,42,51,24,12,126,516,24.18,17.178,14.148,18.144,33.12,33.12,27.6,38.64,40.032,23.76,11.88,124.74,406.542,447,0.909489932885906
"Kihikihi",153,159,159,135,102,96,108,114,129,132,147,156,120,267,1974,128.154,110.43,80.172,82.944,99.36,104.88,118.68,121.44,144.108,154.44,118.8,264.33,1527.738,1665,0.91756036036036
"Peacocke",24,30,36,39,24,21,24,24,36,33,33,36,39,132,537,29.016,31.902,18.864,18.144,22.08,22.08,33.12,30.36,32.472,35.64,38.61,130.68,442.968,477,0.928654088050315
"Temple View",132,99,117,114,75,87,51,66,60,66,60,48,42,165,1179,94.302,93.252,58.95,75.168,46.92,60.72,55.2,60.72,79.452,47.52,41.58,163.35,877.134,951,0.922328075709779
"Te Kowhai",96,141,123,93,66,45,54,105,138,129,126,81,93,222,1512,99.138,76.074,51.876,38.88,49.68,96.6,126.96,118.68,118.26,80.19,92.07,219.78,1168.188,1275,0.916225882352941
"Whatawhata",150,207,213,171,96,108,123,168,216,204,210,201,156,249,2475,171.678,139.878,75.456,93.312,113.16,154.56,198.72,187.68,200.268,198.99,154.44,246.51,1934.652,2115,0.914729078014185
"Ngahinapouri",138,156,165,147,117,96,120,129,159,171,180,153,138,240,2106,132.99,120.246,91.962,82.944,110.4,118.68,146.28,157.32,164.7,151.47,136.62,237.6,1651.212,1815,0.90975867768595
"Lake Cameron",60,84,108,87,84,63,48,51,105,102,93,87,75,126,1173,87.048,71.166,66.024,54.432,44.16,46.92,96.6,93.84,94.104,86.13,74.25,124.74,939.414,1029,0.912938775510204
"Horotiu",60,63,48,39,51,39,33,60,69,78,45,60,33,93,771,38.688,31.902,40.086,33.696,30.36,55.2,63.48,71.76,43.848,59.4,32.67,92.07,593.16,648,0.915370370370371
"Te Rapa North",6,6,9,12,3,9,6,3,6,15,9,12,12,39,147,7.254,9.816,2.358,7.776,5.52,2.76,5.52,13.8,8.532,11.88,11.88,38.61,125.706,135,0.931155555555556
"Te Rore",36,27,33,27,24,33,15,33,27,30,33,24,24,51,420,26.598,22.086,18.864,28.512,13.8,30.36,24.84,27.6,31.284,23.76,23.76,50.49,321.954,354,0.909474576271186
"Pirongia",111,111,120,87,45,66,63,84,114,114,108,99,87,195,1410,96.72,71.166,35.37,57.024,57.96,77.28,104.88,104.88,107.136,98.01,86.13,193.05,1089.606,1182,0.921832487309645
"Pokuru",48,42,36,36,48,36,30,33,33,42,39,36,24,45,531,29.016,29.448,37.728,31.104,27.6,30.36,30.36,38.64,35.784,35.64,23.76,44.55,393.99,438,0.899520547945206
"Lake Ngaroto",36,36,54,36,21,33,21,45,54,39,48,33,39,75,564,43.524,29.448,16.506,28.512,19.32,41.4,49.68,35.88,47.88,32.67,38.61,74.25,457.68,498,0.919036144578313
"Tokanui",39,42,39,42,30,24,30,30,33,30,24,33,15,27,444,31.434,34.356,23.58,20.736,27.6,27.6,30.36,27.6,28.692,32.67,14.85,26.73,326.208,357,0.913747899159664
"Pukerimu",30,36,42,33,21,15,24,21,36,36,51,33,39,45,465,33.852,26.994,16.506,12.96,22.08,19.32,33.12,33.12,44.784,32.67,38.61,44.55,358.566,396,0.905469696969697
"Kaipaki",51,69,81,63,51,45,45,90,78,72,78,72,75,108,975,65.286,51.534,40.086,38.88,41.4,82.8,71.76,66.24,75.132,71.28,74.25,106.92,785.568,858,0.915580419580419
"Rotoorangi",150,162,141,135,135,114,111,126,147,171,156,114,99,174,1935,113.646,110.43,106.11,98.496,102.12,115.92,135.24,157.32,141.948,112.86,98.01,172.26,1464.36,1623,0.902255083179298
"Te Rahu",45,51,75,63,57,45,33,42,66,81,87,66,60,129,900,60.45,51.534,44.802,38.88,30.36,38.64,60.72,74.52,77.724,65.34,59.4,127.71,730.08,804,0.908059701492537
"Kihikihi Flat",36,54,60,57,36,24,33,36,72,48,66,54,45,168,786,48.36,46.626,28.296,20.736,30.36,33.12,66.24,44.16,60.192,53.46,44.55,166.32,642.42,699,0.919055793991416
"Allen Road",24,9,9,15,12,3,18,15,12,15,12,18,15,24,207,7.254,12.27,9.432,2.592,16.56,13.8,11.04,13.8,10.188,17.82,14.85,23.76,153.366,168,0.912892857142857
"Rotongata",66,84,69,60,42,54,60,57,51,63,69,51,33,63,819,55.614,49.08,33.012,46.656,55.2,52.44,46.92,57.96,65.412,50.49,32.67,62.37,607.824,672,0.9045
"Ngaruawahia",480,528,483,411,357,282,336,288,351,321,312,282,219,480,5127,389.298,336.198,280.602,243.648,309.12,264.96,322.92,295.32,363.492,279.18,216.81,475.2,3776.748,4122,0.916241630276565
"Bryant",459,345,339,351,357,444,429,345,375,345,363,318,315,831,5616,273.234,287.118,280.602,383.616,394.68,317.4,345,317.4,334.62,314.82,311.85,822.69,4383.03,4812,0.910854114713217
"Pukete",171,171,147,144,162,168,162,156,150,150,183,138,162,222,2280,118.482,117.792,127.332,145.152,149.04,143.52,138,138,159.228,136.62,160.38,219.78,1753.326,1944,0.901916666666667
"Pukete West",195,177,177,123,144,123,147,162,156,132,123,108,96,156,2016,142.662,100.614,113.184,106.272,135.24,149.04,143.52,121.44,137.988,106.92,95.04,154.44,1506.36,1647,0.914608378870674
"Te Rapa",3,3,9,3,6,15,9,9,15,15,6,3,15,225,339,7.254,2.454,4.716,12.96,8.28,8.28,13.8,13.8,6.876,2.97,14.85,222.75,318.99,330,0.966636363636364
"Burbush",3,12,12,18,18,12,9,6,15,18,18,3,15,12,168,9.672,14.724,14.148,10.368,8.28,5.52,13.8,16.56,14.688,2.97,14.85,11.88,137.46,156,0.881153846153846
"Rotokauri",9,3,12,21,9,9,0,6,9,18,24,15,12,24,165,9.672,17.178,7.074,7.776,0,5.52,8.28,16.56,18,14.85,11.88,23.76,140.55,159,0.883962264150943
"Nawton",354,348,297,336,381,318,291,285,279,270,249,309,216,567,4503,239.382,274.848,299.466,274.752,267.72,262.2,256.68,248.4,255.06,305.91,213.84,561.33,3459.588,3798,0.910897314375987
"Crawshaw",348,291,219,228,276,246,225,186,153,144,117,120,90,147,2793,176.514,186.504,216.936,212.544,207,171.12,140.76,132.48,151.308,118.8,89.1,145.53,1948.596,2151,0.905902370990237
"Grandview",327,276,219,228,255,255,234,207,171,171,159,189,147,297,3132,176.514,186.504,200.43,220.32,215.28,190.44,157.32,157.32,174.492,187.11,145.53,294.03,2305.29,2532,0.910462085308057
"Brymer",216,210,189,186,150,186,195,189,180,183,189,180,141,231,2625,152.334,152.148,117.9,160.704,179.4,173.88,165.6,168.36,179.172,178.2,139.59,228.69,1995.978,2199,0.907675306957708
"Dinsdale North",312,309,276,306,318,261,258,240,279,273,309,264,210,477,4104,222.456,250.308,249.948,225.504,237.36,220.8,256.68,251.16,279.864,261.36,207.9,472.23,3135.57,3471,0.903362143474503
"Dinsdale South",345,279,270,300,351,318,273,252,234,228,225,210,213,402,3903,217.62,245.4,275.886,274.752,251.16,231.84,215.28,209.76,231.12,207.9,210.87,397.98,2969.568,3276,0.906461538461538
"Beerescourt",231,189,183,183,219,234,225,210,207,222,201,162,162,558,3189,147.498,149.694,172.134,202.176,207,193.2,190.44,204.24,183.42,160.38,160.38,552.42,2522.982,2766,0.912140997830803
"Maeroa",321,243,204,210,351,381,330,285,243,222,186,180,183,297,3636,164.424,171.78,275.886,329.184,303.6,262.2,223.56,204.24,183.456,178.2,181.17,294.03,2771.73,3072,0.902255859375
"Frankton Junction",90,66,102,150,192,222,150,108,120,108,123,120,84,150,1788,82.212,122.7,150.912,191.808,138,99.36,110.4,99.36,108.288,118.8,83.16,148.5,1453.5,1629,0.892265193370166
"Swarbrick",426,333,273,327,492,402,330,285,324,249,225,192,171,438,4464,220.038,267.486,386.712,347.328,303.6,262.2,298.08,229.08,232.308,190.08,169.29,433.62,3339.822,3708,0.9007071197411
"Hamilton Lake",300,189,246,243,414,438,339,261,252,240,249,219,189,477,4056,198.276,198.774,325.404,378.432,311.88,240.12,231.84,220.8,234.864,216.81,187.11,472.23,3216.54,3567,0.90174936921783
"Melville",462,372,369,348,408,396,378,315,270,327,249,201,177,462,4728,297.414,284.664,320.688,342.144,347.76,289.8,248.4,300.84,283.572,198.99,175.23,457.38,3546.882,3900,0.909456923076923
"Glenview",426,354,342,327,360,432,342,300,336,324,348,309,261,681,5145,275.652,267.486,282.96,373.248,314.64,276,309.12,298.08,327.528,305.91,258.39,674.19,3963.204,4362,0.908574965612104
"Queenwood",195,198,225,234,177,135,138,162,213,219,213,201,207,528,3045,181.35,191.412,139.122,116.64,126.96,149.04,195.96,201.48,206.676,198.99,204.93,522.72,2435.28,2652,0.918280542986425
"Chedworth",306,279,243,258,243,204,198,240,228,219,192,183,165,531,3489,195.858,211.044,190.998,176.256,182.16,220.8,209.76,201.48,202.212,181.17,163.35,525.69,2660.778,2904,0.916245867768595
"Porritt",144,135,153,168,138,105,105,96,117,96,90,87,84,213,1734,123.318,137.424,108.468,90.72,96.6,88.32,107.64,88.32,110.268,86.13,83.16,210.87,1331.238,1452,0.916830578512397
"Insoll",270,222,204,219,204,168,198,156,162,105,117,111,93,345,2568,164.424,179.142,160.344,145.152,182.16,143.52,149.04,96.6,145.368,109.89,92.07,341.55,1909.26,2082,0.917031700288184
"Fairview Downs",327,297,258,255,291,270,237,267,231,192,165,135,120,291,3330,207.948,208.59,228.726,233.28,218.04,245.64,212.52,176.64,193.248,133.65,118.8,288.09,2465.172,2712,0.908986725663717
"Chartwell",114,153,246,255,159,114,120,108,177,180,201,198,129,363,2517,198.276,208.59,124.974,98.496,110.4,99.36,162.84,165.6,208.368,196.02,127.71,359.37,2060.004,2250,0.915557333333333
"Hamilton Central",132,108,78,228,465,459,273,180,180,177,147,132,132,234,2928,62.868,186.504,365.49,396.576,251.16,165.6,165.6,162.84,112.032,130.68,130.68,231.66,2361.69,2685,0.879586592178771
"Clarkin",321,246,201,255,237,228,249,195,189,177,162,159,117,306,3048,162.006,208.59,186.282,196.992,229.08,179.4,173.88,162.84,169.02,157.41,115.83,302.94,2244.27,2475,0.906775757575758
"Claudelands",150,126,120,174,258,222,174,150,198,180,186,138,111,231,2424,96.72,142.332,202.788,191.808,160.08,138,182.16,165.6,150.192,136.62,109.89,228.69,1904.88,2142,0.889299719887955
"Enderley",345,300,309,345,426,315,276,246,252,255,210,228,168,510,4182,249.054,282.21,334.836,272.16,253.92,226.32,231.84,234.6,238.284,225.72,166.32,504.9,3220.164,3540,0.909650847457627
"Peachgrove",192,144,171,276,348,276,201,213,201,171,174,144,120,648,3273,137.826,225.768,273.528,238.464,184.92,195.96,184.92,157.32,163.764,142.56,118.8,641.52,2665.35,2943,0.90565749235474
"Hamilton East",219,186,240,408,687,360,252,231,210,216,216,135,111,378,3852,193.44,333.744,539.982,311.04,231.84,212.52,193.2,198.72,214.272,133.65,109.89,374.22,3046.518,3444,0.884587108013937
"Naylor",294,249,240,315,492,393,330,303,309,285,276,204,174,453,4326,193.44,257.67,386.712,339.552,303.6,278.76,284.28,262.2,247.392,201.96,172.26,448.47,3376.296,3774,0.894620031796502
"Bader",372,315,306,267,429,411,312,267,237,216,213,171,126,354,4005,246.636,218.406,337.194,355.104,287.04,245.64,218.04,198.72,238.752,169.29,124.74,350.46,2990.022,3309,0.903602901178604
"University",225,210,237,1434,1515,450,315,231,222,180,183,114,93,192,5610,191.022,1173.012,1190.79,388.8,289.8,212.52,204.24,165.6,194.868,112.86,92.07,190.08,4405.662,5166,0.85281881533101
"Silverdale",162,198,219,282,330,183,147,135,186,147,135,93,78,300,2595,176.514,230.676,259.38,158.112,135.24,124.2,171.12,135.24,161.244,92.07,77.22,297,2018.016,2235,0.902915436241611
"Hillcrest West",171,198,294,414,612,255,216,177,255,228,195,168,117,318,3618,236.964,338.652,481.032,220.32,198.72,162.84,234.6,209.76,224.064,166.32,115.83,314.82,2903.922,3249,0.893789473684211
"Riverlea",147,156,234,219,171,132,96,132,192,213,204,171,165,360,2583,188.604,179.142,134.406,114.048,88.32,121.44,176.64,195.96,205.272,169.29,163.35,356.4,2092.872,2289,0.914317169069463
"Te Awamutu West",108,96,90,78,84,81,84,84,87,84,78,81,75,192,1305,72.54,63.804,66.024,69.984,77.28,77.28,80.04,77.28,78.696,80.19,74.25,190.08,1007.448,1098,0.917530054644809
"Te Awamutu Central",228,228,222,234,168,168,177,177,195,216,216,198,171,732,3321,178.932,191.412,132.048,145.152,162.84,162.84,179.4,198.72,207.144,196.02,169.29,724.68,2648.478,2874,0.921530271398747
"Te Awamutu East",165,198,198,177,153,132,138,156,180,171,195,174,171,558,2766,159.588,144.786,120.258,114.048,126.96,143.52,165.6,157.32,186.048,172.26,169.29,552.42,2212.098,2403,0.920556803995006
"Te Awamutu South",195,186,210,186,177,150,150,156,147,183,195,174,168,636,2910,169.26,152.148,139.122,129.6,138,143.52,135.24,168.36,190.8,172.26,166.32,629.64,2334.27,2532,0.921907582938389
"Kawhia Community",21,18,18,12,15,6,9,12,18,18,24,30,42,96,336,14.508,9.816,11.79,5.184,8.28,11.04,16.56,16.56,20.376,29.7,41.58,95.04,280.434,300,0.93478
"Otorohanga",198,189,162,162,168,153,135,102,138,144,177,141,174,468,2514,130.572,132.516,132.048,132.192,124.2,93.84,126.96,132.48,161.856,139.59,172.26,463.32,1941.834,2124,0.914234463276836
"Otorohanga Rural West",144,138,132,117,78,81,87,123,141,156,138,141,114,252,1845,106.392,95.706,61.308,69.984,80.04,113.16,129.72,143.52,128.448,139.59,112.86,249.48,1430.208,1560,0.9168
"Te Kawa",39,42,36,42,18,30,39,27,30,27,27,24,24,42,450,29.016,34.356,14.148,25.92,35.88,24.84,27.6,24.84,29.16,23.76,23.76,41.58,334.86,366,0.914918032786885
