"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Pokere-Waihaha",159,177,150,168,78,72,93,123,150,168,204,219,216,450,2424,120.9,137.424,61.308,62.208,85.56,113.16,138,154.56,172.008,216.81,213.84,445.5,1921.278,2091,0.918832137733142
"Okaihau",54,69,75,51,33,27,27,54,57,48,45,36,36,87,696,60.45,41.718,25.938,23.328,24.84,49.68,52.44,44.16,54.54,35.64,35.64,86.13,534.504,576,0.927958333333333
"Ohaeawai",42,48,57,48,21,21,27,33,36,54,57,57,69,144,717,45.942,39.264,16.506,18.144,24.84,30.36,33.12,49.68,54.036,56.43,68.31,142.56,579.192,624,0.928192307692308
"Waihou Valley-Hupara",198,201,228,210,123,96,135,186,240,315,300,279,273,501,3285,183.768,171.78,96.678,82.944,124.2,171.12,220.8,289.8,255.888,276.21,270.27,495.99,2639.448,2886,0.914569646569646
"Ngapuhi-Kaikou",147,171,180,171,150,123,111,120,147,183,234,213,141,300,2397,145.08,139.878,117.9,106.272,102.12,110.4,135.24,168.36,200.448,210.87,139.59,297,1873.158,2073,0.903597684515195
"Kaikohe",465,408,363,300,237,240,204,183,192,237,216,198,180,492,3915,292.578,245.4,186.282,207.36,187.68,168.36,176.64,218.04,262.98,196.02,178.2,487.08,2806.62,3042,0.922623274161736
"Opouteke-Tanekaha",327,384,408,375,180,171,189,291,387,402,420,318,267,609,4734,328.848,306.75,141.48,147.744,173.88,267.72,356.04,369.84,393.408,314.82,264.33,602.91,3667.77,4017,0.913061986557132
"Marsden Point-Ruakaka",249,285,210,180,150,156,186,186,240,237,237,258,246,726,3543,169.26,147.24,117.9,134.784,171.12,171.12,220.8,218.04,213.984,255.42,243.54,718.74,2781.948,3012,0.923621513944223
"Ngunguru",81,111,87,75,39,51,63,72,99,117,120,123,132,360,1524,70.122,61.35,30.654,44.064,57.96,66.24,91.08,107.64,100.692,121.77,130.68,356.4,1238.652,1338,0.925748878923767
"Wharekohe-Oakleigh",228,237,276,234,141,123,114,204,279,303,354,333,246,525,3597,222.456,191.412,110.826,106.272,104.88,187.68,256.68,278.76,304.704,329.67,243.54,519.75,2856.63,3132,0.912078544061303
"Maungatapere",93,114,99,78,45,48,39,60,105,120,105,105,84,231,1326,79.794,63.804,35.37,41.472,35.88,55.2,96.6,110.4,97.164,103.95,83.16,228.69,1031.484,1119,0.921790884718499
