"date","week","incidence"
"2009-01-24",1,4
"2009-01-31",2,4
"2009-02-07",3,2
"2009-02-14",4,0
"2009-02-21",5,6
"2009-02-28",6,0
"2009-03-07",7,6
"2009-03-14",8,2
"2009-03-21",9,1
"2009-03-28",10,3
"2009-04-04",11,2
"2009-04-11",12,2
"2009-04-18",13,3
